สถานที่,จุดเด่น,ที่อยู่,วันที่เปิดทำการ,เวลาเปิดทำการ,รายละเอียดเพิ่มเติม,บูชา,ภาพสถานที่,หมวดหมู่
ศาลเจ้าแม่ประดู่,ศาลเจ้าแม่ประดู่ เป็นศาลเก่าแก่ อีกศาลที่อยู่คู่กับชุมชนตลาดเก่า เยาวราช มาอย่างยาวนานกว่า 170 ปีแล้ว และเป็นที่สักการะ ผู้คนนิยมมาขอพรเรื่องความรักที่นี่ แล้วจะสุขสมหวังตามความปรารถนา,60 ถนนเยาวพานิช แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00-17.00 น.,-,ของถวายที่แนะนำ คือ ผู้คนส่วนใหญ่ที่มาขอเนื้อคู่มักจะนิยมนำผลไม้ที่มีรสหวาน 5 ชนิด ธูป เทียน น้ำมันเติมกระเกียง กระดาษเงิน กระดาษทอง ซื้อที่ศาลเจ้าได้เลย ธูปแดงใช้ธูป 45 ดอกและเทียนแดงที่เป็นคู่มาถวาย,https://drive.google.com/file/d/1yfDWCD3CVdWNtyI4uJES1wCDAJPfURC2/view?usp=sharing,ความรัก
ศาลขวัญเรียม ,ศาลขวัญเรียม ตั้งอยู่ที่ ตลาดน้ำขวัญเรียม เป็นศาลแห่งตำนานคู่รักของคลองแสนแสบแห่งท้องทุ่งบางกะปิ และมีนบุรี มีความเชื่อว่า หากมาขอพรแล้วสมหวังดั่งที่ขอ ไม่ว่าจะเป็นเรื่องความรัก หรือครอบครัว,ซอยรามคำแหง 185 ถนนรามคำแหง แขวงมีนบุรี เขตมีนบุรี กรุงเทพฯ,"ส,อา ",07.00 - 18.00 น.,และ เปิดในวันหยุดนักขัตฤกษ์  ,ของถวายที่แนะนำ ธูป 3 ดอก นิยมถวายนํ้าแดง ดอกไม้ ดอกบัว พวงมาลัย หุ่นรูปปั้นควาย,https://drive.google.com/file/d/1N2DdjCQvgWJWvoTGGTeIquKKLr7FETgY/view?usp=sharing,ความรัก
ศาลเจ้าแม่เขาสามมุข,ขอพรความรัก ที่ เจ้าแม่เขาสามมุข?จังหวัดชลบุรี,ตำบลแสนสุข อำเภอเมือง จังหวัดชลบุรี,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,-,"ของที่ใช้ไหว้ขอคู่: ว่าว  *เขียนชื่อนามสกุลและคำขอพรลงในว่าว ถ้ามีคนรัก เขียนชื่อคนรักลงไปด้วย แล้วแขวนไว้บริเวณศาล

ของถวายแก้บน: ผลไม้ 5 อย่าง (ต้องมีมะพร้าวอ่อน สัปปะรด กล้วยน้ำว้าด้วย) เครื่องสำอาง เครื่องประดับ ชุดไทย            วิธีการไหว้: จุดจำหน่ายธูป-เทียน ที่ศาลเจ้าแม่สามมุข จะมีธูปถุงใหญ่ให้ 1 ถุง และร่วมทำบุญธูปเทียน ดอกไม้ โดยให้จุดเทียน 1 คู่ ปักไว้ในถาดเทียน และจุดธูปอีก 14 ดอก ไหว้เจ้าแม่สามมุขจีน โดยให้ไหว้และปักธูปที่ด้านนอกของตัวศาล จากนั้นค่อยเอาไปขอพรเจ้าแม่ด้านใน (ภายในห้ามจุดธูป) ส่วนธูปที่เหลือ ให้นำไปจุดและไหว้สิ่งศักดิ์สิทธิ์ที่จุดอื่น แต่ละจุดก็จะประมาณ 3 ดอก เพราะมีทั้งหมด 3 ชั้น จะมีคำแนะนำการไหว้ตลอดทาง จะเริ่มวนจากฝั่งซ้ายไปทางขวา",https://drive.google.com/file/d/1wutW-PzxEABPF8PdD7fHCQ06kCGNR_Rj/view?usp=sharing,ความรัก
อุทยานแห่งชาติเขาสามร้อยยอด,ถ้ำพระยานคร?อุทยานแห่งชาติเขาสามร้อยยอด จังหวัดประจวบคีรีขันธ์ เป็นสถานที่ที่มีความสวยงามและศักดิ์สิทธิ์เป็นอย่างมาก ซึ่งที่นี่เต็มไปด้วยความอัศจรรย์ที่ซ่อนอยู่มากมาย รวมไปถึงต้นซุ้มรอดคู่หู ที่มีความเชื่อกันว่าคู่รักที่ได้มาลอดซุ้มแห่งความรักนี้ด้วยกันจะรักกันตราบ  นิรันดร์ หรือใครที่ยังโสดหากมาลอดซุ้มให้อธิษฐานขอพรจะได้เจอกับรักที่สมหวัง,หมู่ 2 บ้านเขาแดง ต.เขาแดง อ.กุยบุรี จ.ประจวบคีรีขันธ์ 77150 ,"จ,อ,พ,พฤ,ศ,ส,อา ",09.00-17.00 น.,-,ภายในถ้ำ แล้วแวะไปลอด “ต้นซุ้มรอดคู่” ที่ว่ากันว่าคนโสดลอดปุ๊บจะได้ลงจากคาน คนมีคู่ควงกันไปลอดต้นนี้ด้วยกัน จะส่งผลให้ความรักมั่นคง,https://drive.google.com/file/d/1xZ3k3YTF6Fp_PYCwFqAmFiHqF41v4IPg/view?usp=sharing,ความรัก
วัดราชคฤห์วรวิหาร,ขอพรเรื่องสุขภาพ แนะนำให้ไปทำบุญขอพรกับหลวงพ่อสุขสบาย วัดราชคฤห์วรวิหาร เป็นพระพุทธรูปปางถวายพระเพลิง มีลักษณะนอนหงาย ซึ่งเป็นแห่งเดียวในประเทศไทยที่มีพระพุทธรูปปางนี้ ,เลขที่ 434  ถนนเทอดไท  แขวงบางยี่เรือ เขตธนบุรี กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00-17.00 น. ,-,การขอพร กราบไหว้ พร้อมดอกไม้และธูปเทียน,https://drive.google.com/file/d/1GsKVFXLI9cZQB4uovMXE8HHt-7V-oknC/view?usp=sharing,สุขภาพ
วัดอรุณราชวรารามราชวรมหาวิหาร (วัดแจ้ง),พระพุทธธรรมมิศรราชโลกธาตุดิลก ซึ่งรัชกาลที่ 2 ทรงปั้นหุ่นและพระพักตร์ด้วยฝีพระหัตถ์ของพระองค์เอง ซึ่งหลังจากสิ้นพระชนม์ ก็ได้มีการอัญเชิญพระบรมอัฐิของรัชกาลที่ 2 มาบรรจุไว้ที่พระพุทธอาสน์ (ที่รองนั่ง) ของพระประธาน โดยเชื่อกันว่าใครที่ได้กราบไหว้ขอพรจะช่วยเสริมดวงชะตาให้รุ่งโรจน์ และช่วยปัดเป่าภัยร้ายโรคภัยไข้เจ็บต่าง ๆ ออกไปได้,เลขที่ 158 ถ.วังเดิม แขวงวัดอรุณ เขตบางกอกใหญ่ จ.กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00 – 18.00 น.,-,การขอพร กราบไหว้ พร้อมดอกไม้และธูปเทียน,https://drive.google.com/file/d/1aHTcyw5hb9L0ii2uVwwp8_jjQSls_d8T/view?usp=sharing,สุขภาพ
วัดนาคกลางวรวิหาร,หลวงพ่อโคนสมอมหาลาภ เป็นพระพุทธรูปปางฉันสมอ หรือปางถือผลสมอ โดยหลวงพ่อโคนสมอมหาลาภ มีชื่อเสียงเรื่องการให้พรรักษาหรือให้แคล้วคลาดจากโรคภัยไข้เจ็บ เชื่อกันว่าผู้ที่ป่วยเป็นโรคต่าง ๆ หากได้ไปกราบไหว้อาการป่วยจะหายหรือทุเลาลง ส่วนในผู้ที่ไม่ได้มีอาการเจ็บป่วย ก็มักไปขอพรให้สุขภาพร่างกายแข็งแรง ปราศจากโรคภัยไข้เจ็บ,ซ.อิสรภาพ 42 แขวงวัดอรุณ เขตบางกอกใหญ่ จ.กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00-17.00 น. ,-,การกราบไหว้ ขอพร พร้อมดอกไม้ ธุป เทียน ทำบุญปิดทอง,https://drive.google.com/file/d/1aPmEXawWS2CSoPjAsHm50SnTxMxaBFSy/view?usp=sharing,สุขภาพ
วัดสมานรัตนาราม,หลวงพ่อองค์ดำ วัดสมานรัตนาราม นี้ เป็นองค์จำลองมาจาก หลวงพ่อองค์ดำ ที่ นาลันทา ประเทศอินเดีย มีความเชื่อว่าหากเกิดการเจ็บป่วยก็จะนำน้ำมันมาลูบองค์พระ แล้วอธิษฐานขอให้หลวงพ่อรักษาโรคต่างๆ จนทุกวันนี้ยังมีผู้คนที่เดินทางไปสักการะ และอธิษฐานขอพรให้หายจากโรคต่างๆ และกลับมาหายจากโรคได้อย่างน่ามหัศจรรย์,ริมแม่น้ำบางปะกง หมู่ที่ 11 ตำบลบางแก้ว อำเภอเมือง จังหวัดฉะเชิงเทรา,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00 – 18.00 น.,-,วิธีการบูชาให้เกิดผลกับหลวงพ่อองค์ดำ เมื่อเข้าไปกราบหลวงพ่อองค์ดำ ให้รวบรวมกำลังใจให้เป็นสมาธิ โดยมองที่พระพักตร์ขององค์หลวงพ่อให้เกิดความชื่นใจสักชั่ว 5-7 ลมหายใจ จากนั้นจึงบรรจงลงกราบให้งาม แล้วกล่าวคำบูชาพระรัตนตรัย พร้อมดอกไม้ ธูปเทียน นำน้ำมันมาลูบองค์พระ,https://drive.google.com/file/d/1B4OpoOnrWUTLdpQs1T-eoGUXqygqIxOG/view?usp=sharing,สุขภาพ
วัดมังกรกมลาวาส (วัดเล่งเน่ยยี่),วัดเล่งเน่ยยี่ หรืออีกชื่อ วัดมังกรกมลาวาส เป็นวัดที่มีผู้คนแวะเวียนมากราบไหว้ขอพรเรื่องสุขภาพ รวมถึงสะเดาะเคราะห์ ทำบุญแก้ชง,ถนนเจริญกรุง เขตป้อมปราบศัตรูพ่าย กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00-17.00 น. ,-,วิธีไหว้ : เขียนชื่อ สกุล อายุ วันเดือนปีเกิด ปีนักษัตร เวลาตกฟาก จุดธูป 3 ดอกเพื่อทำการขอพร จากนั้นให้นำชุดไหว้มาโบกปัดตามร่างกาย 12 ครั้ง ก่อนนำชุดไหว้ไปฝากไว้หน้าองค์ไท่ส่วยเอี๊ย ของไหว้ : ชุดไหว้มีบริการหน้าวัด,https://drive.google.com/file/d/1u2LX3e8kv6W_0xykzNCzTiZNyS9m3IZh/view?usp=sharing,สุขภาพ
วัดพระธาตุดอยคำ,ขอพรกับหลวงพ่อทันใจ นอกจากเรื่องเสริมดวง เสี่ยงดวงที่คนศรัทธาว่าเห็นผลทันตา ได้โชคทันใจแล้ว เรื่องโรคภัยไข้เจ็บท่านก็ช่วยบันดาลให้หายและมีอาการดีขึ้น รวมไปถึงการขอพรเรื่องหน้าที่การงาน ให้เจริญก้าวหน้าและประสบความสำเร็จเช่นกัน,ตำบลแม่เหียะ อำเภอเมือง จังหวัดเชียงใหม่,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00 – 18.00 น.,-,"การไหว้ขอพรหลวงพ่อพระเจ้าทันใจนั้นให้จุดธูป 3 ดอก ตั้งนะโม 3 จบแล้วว่าคาถา “โอม นะโมพุทธายะ ยะอะสะ สุมัง จะปาคะ” แล้วบอกชื่อเรา ข้าพเจ้าชื่อ………. และเล่าเรื่องที่เราจะขอให้ละเอียด
เสร็จแล้วบอกหลวงพ่อพระเจ้าทันใจ ขอให้ช่วยข้าพเจ้าให้สำเร็จโดยด่วน เมื่อข้าพเจ้าสำเร็จแล้วจะมาถวายดอกมะลิจำนวน 50 พวงขึ้นไป ถ้าเราจะให้มากกว่าก็บอกท่านไปตามจำนวนที่เราต้องการถวาย
สำหรับการแก้บนก็เหมือนกัน กล่าวเหมือนครั้งแรก แล้วบอกข้าพเจ้าได้นำดอกมะลิมาแก้บนแล้วตามที่ข้าพเจ้าสัญญาไว้ ขอองค์หลวงพ่อพระเจ้าทันใจรับไว้ด้วย สาธุ สาธุ สาธุ",https://drive.google.com/file/d/1J15ubRk7NeMausDOeyIv2VEC-El_xg-n/view?usp=sharing,สุขภาพ
วัดบางพลีใหญ่ใน,"หลวงพ่อโต วัดบางพลีใหญ่ใน เป็นพระพุทธรูปศักดิ์สิทธิ์ที่ชาวสมุทรปราการให้ความเคารพนับถือ ตำนานเล่าว่า หลวงพ่อโตลอยน้ำมาจนถึงคลองสำโรง ชาวบ้านตั้งใจจะอาราธนาขึ้นมา แต่ไม่สำเร็จ ต้องผูกเรือเสี่ยงทาย โดยอธิษฐานว่าหากท่านประสงค์จะขึ้นที่ใดก็ให้ไปหยุดที่ท่านั้น จนมาถึงวัดบางพลีใหญ่ใน 

คนส่วนใหญ่มักจะไปขอพรเรื่องสุขภาพ และแคล้วคลาดปลอดภัย เชื่อกันว่า น้ำพระพุทธมนต์ของที่นี่สามารถช่วยบรรเทาโรคภัย ปัดเป่าโรคร้ายได้ ",เลขที่ 130 หมู่ที่ 10 ถนนสุขาภิบาล 3 ตำบลบางพลีใหญ่ อำเภอบางพลี จังหวัดสมุทรปราการ,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00 - 17.00 น. ,-,"ของไหว้หลวงพ่อโต วัดบางพลีใหญ่ใน ไหว้อะไรบ้าง
ไข่ต้ม
ปลาตะเพียนเงิน ปลาตะเพียนทอง ที่สานด้วยใบลาน ซึ่งเชื่อกันว่าเป็นปลาคู่บารมีของหลวงพ่อโต วัดบางพลีใหญ่ใน",https://drive.google.com/file/d/1CWVOuTtMBxdybM-YsRlzm303ciz1xMCN/view?usp=sharing,สุขภาพ
วัดโสธรวรารามวรวิหาร,"""หลวงพ่อโสธร"" คือ พระพุทธรูปคู่บ้านคู่เมืองของชาวฉะเชิงเทรา เป็นที่ศรัทธาว่ามีความศักดิ์สิทธิ์ จนมีผู้คนไปขอพรให้สมหวังกันมากมาย ไม่ว่าจะเป็นเรื่อง การค้าขาย เรื่องการงาน เรื่องสุขภาพ และขอให้ประสบความสำเร็จในชีวิต เรื่องเงินทองหรือเสริมดวง คนที่สมหวังก็จะมาแก้บนด้วยไข่ต้ม หรือละครรำ",เลขที่ 134 ถนนเทพคุณากร ตำบลหน้าเมือง อำเภอเมืองฉะเชิงเทรา จังหวัดฉะเชิงเทรา,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00-16.30 น.,-,"วิธีการบนหลวงพ่อโสธร
จุดธูป 9 ดอก
กล่าวคาถาบูชาหลวงพ่อโสธร อธิษฐานหรือกล่าวคำบนบานในสิ่งที่ต้องการ พร้อมบอกว่าหากสมหวังตามที่ปรารถนาจะนำสิ่งใดมาถวาย เช่น ไข่ต้มจำนวนเท่าไร รำละครชาตรี การบน: มีความเชื่อว่า หลวงพ่อโสธรชอบไข่ต้ม เพราะคนที่สมหวังจากคำบนบานจะนิยมแก้บนด้วยไข่ต้ม ซึ่งเป็นของหาง่ายในยุคแรก ๆ ของวัดโสธร หลังจากนั้นเลยนิยมใช้ไข่ต้มเป็นเครื่องแก้บนมาตั้งแต่นั้นนอกจากนี้ยังมีการแก้บนด้วยพวงมาลัยและนางรำละครชาตรีหรือลิเก เป็นต้น

แก้บนหลวงพ่อโสธร
 1.ปอกไข่ต้ม 3 ฟอง เปิดน้ำเปล่า, น้ำปลา, หมาก-พลู
2.จุดธูป 3 ดอก บอกชื่อ-นามสกุลจริง ว่าบนหลวงพ่อโสธรเรื่องอะไร สำเร็จแล้วได้มาแก้บนให้ท่าน แล้วขอให้ขาดสินบนกัน
3.รอจนธูปหมด เวลาลาของให้ท่องว่า เสสัง มังคลา ยาจมมิ
4.นำของที่แก้บนกลับบ้านหรือบริจาคให้กับทางวัดได้เลย",https://drive.google.com/file/d/1mDWuHVk3HjJ19TsBdgkXQZHmmV1HtIUz/view?usp=sharing,สุขภาพ
วัดขนอนเหนือ ,วัดขนอนเหนือ เป็นวัดเก่าแก่ที่สร้างขึ้นในสมัยกรุงศรีอยุธยา ภายในวัดประดิษฐาน “พระปางพยาบาล” เป็นพระนั่งขัดสมาธิ โดยมีพระภิกษุอาพาธ (เจ็บป่วย) นอนอยู่ที่ตัก โดยมือขวาประคองศีรษะไว้ ขณะที่มือซ้ายจับที่ท้องของพระที่อาพาธ ซึ่งเป็นปางที่หาชมได้ยาก โดยชาวบ้านเชื่อกันว่าหากมากราบไหว้ จะขอพรเรื่องสุขภาพให้ไร้โรคภัยไข้เจ็บได้, บ้านกรด หมู่ 9 ต.บ้านกรด อ.บางปะอิน จ.อยุธยาฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00 – 17.00 น.,-,การขอพร กราบไหว้ พร้อมดอกไม้และธูปเทียน,https://drive.google.com/file/d/1EJBUsIjcDUrvWsOu-8Bbc93bx7MR9EUo/view?usp=sharing,สุขภาพ
