ชื่อเครื่องราง,ภาพ,พิกัดขาย,ประเภทเครื่องราง,ความเชื่อ,วัสดุที่ใช้,ปีที่สร้าง,พิธีปลุกเสก,วัตถุประสงค์การใช้งาน,ราคาโดยประมาณ,ความนิยม,ความเกี่ยวข้องกับบุคคลสำคัญ,หมวดหมู่,,
ตะกรุดมหาเสน่ห์,,วัดบางพลัด,ตะกรุด,เสริมเสน่ห์ เมตตามหานิยม,"ทองคำ, เงิน",2545,ปลุกเสกในพิธีมหาเสน่ห์,พกติดตัวเพื่อเสริมเสน่ห์,"5,500+",สูง,หลวงปู่ทวด,ความรัก,,
ยันต์น้ำเต้าหลงรัก,,วัดนางพญา (พิษณุโลก),ยันต์,เสริมเสน่ห์ ความรัก,ผ้าไหม,2560,ปลุกเสกในพิธีใหญ่,พกติดตัวเพื่อเสริมความรัก,"1,200+",กลาง,หลวงพ่อแพ,ความรัก,,
ตะกรุดเทพมณีมหารัก,,วัดชนะสงคราม,ตะกรุด,เสริมเสน่ห์ ความสัมพันธ์,"ทองคำ, เงิน",2550,ปลุกเสกโดยเกจิชื่อดัง,พกติดตัวเพื่อเสริมความรัก,"7,500+",สูง,สมเด็จพระสังฆราช,ความรัก,,
พระร่วงโรจนฤทธิ์,,วัดพระปฐมเจดีย์,พระเครื่อง,เสริมความรัก และความมั่นคง,เนื้อทองคำ,2558,ปลุกเสกโดยพระเกจิอาจารย์ใหญ่,ตั้งบูชาหรือพกติดตัว,"20,000+",สูง,,ความรัก,,
เครื่องรางมหานิยม,,วัดธรรมจักร,เครื่องราง,เสริมเมตตามหานิยม เสน่ห์,"โลหะ, ผงพุทธคุณ",2555,ปลุกเสกในพิธีบวงสรวง,พกติดตัวเพื่อเสริมความรัก,"2,500+",กลาง,หลวงปู่มั่น,ความรัก,,
พระกริ่งปวเรศ,,วัดบวรนิเวศวิหาร,พระเครื่อง,เสริมเมตตา โชคลาภ และความรัก,เนื้อโลหะ,2542,ปลุกเสกโดยสมเด็จพระสังฆราช,ตั้งบูชาเพื่อความเป็นสิริมงคล,"30,000+",สูง,สมเด็จพระสังฆราช,ความรัก,,
ตะกรุดเงินคำ,,วัดสังฆทาน,ตะกรุด,เสริมความรักและความสัมพันธ์,"ทองคำ, เงิน",2548,ปลุกเสกโดยหลวงปู่สังข์,พกติดตัวเพื่อเสริมความรัก,"4,000+",กลาง,,ความรัก,,
หินดวงจันทร์เสริมรัก,,วัดศาลหลักเมือง (เชียงใหม่),หินมงคล,เสริมเสน่ห์และความรัก,หินดวงจันทร์,2564,ปลุกเสกในพิธีบวงสรวงใหญ่,พกติดตัวเพื่อเสริมความสัมพันธ์,"3,000+",กลาง,,ความรัก,,
พระขุนแผนหลวงพ่อสาคร,,วัดหลวงพ่อสาคร,พระเครื่อง,เสริมเสน่ห์ ความรัก,เนื้อดิน,2540,ปลุกเสกในพิธีใหญ่,พกติดตัวเพื่อเสริมความรัก,"9,000+",สูง,หลวงพ่อสาคร,ความรัก,,
ตะกรุดเสน่ห์ลาภหลวงปู่ทอง,,วัดราชนัดดา,ตะกรุด,เสริมเสน่ห์ เมตตามหานิยม,"เงิน, ทองแดง",2550,ปลุกเสกโดยหลวงปู่ทอง,พกติดตัวเพื่อเสริมโชคลาภ,"6,000+",กลาง,หลวงปู่ทอง,ความรัก,,
หินสีม่วงเสน่ห์แห่งจันทรา,,วัดเจดีย์,หินมงคล,เสริมความรัก และโชคลาภ,หินอเมทิสต์,2561,ปลุกเสกในพิธีบวงสรวง,พกติดตัวเพื่อเสริมความรัก,"2,500+",กลาง,,ความรัก,,
ตะกรุดอิ่นคำ,,วัดบวรนิเวศวิหาร,ตะกรุด,เสริมเสน่ห์ ความรัก,"ทองคำ, เงิน",2548,ปลุกเสกโดยสมเด็จพระสังฆราช,พกติดตัวเพื่อเสริมความสัมพันธ์,"7,500+",สูง,สมเด็จพระสังฆราช,ความรัก,,
ยันต์กามเทพ,,วัดป่าคลองมะเดื่อ,ยันต์,เสริมความรัก ความสัมพันธ์,ผ้าไหม,2559,ปลุกเสกในพิธีใหญ่,วางไว้ในบ้านเพื่อเสริมความรัก,"1,800+",กลาง,หลวงพ่อทองทิพย์,ความรัก,,
ตะกรุดนางกวักเงินคำ,,วัดชนะสงคราม,ตะกรุด,เสริมเสน่ห์ เมตตา,"ทองคำ, เงิน",2542,ปลุกเสกในพิธีมหาเสน่ห์,พกติดตัวเพื่อเสริมโชคลาภ,"10,000+",สูง,หลวงปู่ทวด,ความรัก,,
พระนางพญาผงพุทธคุณ,,วัดนางพญา (พิษณุโลก),พระเครื่อง,เสริมเมตตามหานิยม,เนื้อผง,2549,ปลุกเสกในพิธีบวงสรวง,ตั้งบูชาเพื่อเสริมความสัมพันธ์,"12,000+",สูง,หลวงพ่อแพ,ความรัก,,
เครื่องรางเพชรพญานาค,,วัดถ้ำขวัญเมือง,เครื่องราง,เสริมโชคลาภ ความรัก,หินเพชรพญานาค,2560,ปลุกเสกในพิธีบวงสรวง,พกติดตัวเพื่อเสริมความรัก,"4,500+",กลาง,,ความรัก,,
พระขุนแผนชมตลาด,,วัดป่าคำชะโนด,พระเครื่อง,เสริมเสน่ห์ ความรัก,เนื้อดิน,2545,ปลุกเสกโดยหลวงปู่สังข์,พกติดตัวเพื่อเสริมความรัก,"15,000+",สูง,หลวงปู่มั่น,ความรัก,,
ตะกรุดแม่นางกวักมหาลาภ,,วัดบางพลัด,ตะกรุด,เสริมโชคลาภ ความรัก,"เงิน, ทองคำ",2553,ปลุกเสกในพิธีใหญ่,พกติดตัวเพื่อเสริมโชคลาภ,"6,000+",กลาง,หลวงปู่มั่น,ความรัก,,
หินลาพิสเสริมเสน่ห์,,ศาลหลักเมือง (ระยอง),หินมงคล,เสริมเสน่ห์ ความรัก,หินลาพิส,2564,พิธีบวงสรวงใหญ่,พกติดตัวเพื่อเสริมเสน่ห์,"2,000+",กลาง,,ความรัก,,
พระกริ่งเสน่ห์จันทร์,,วัดเสน่ห์จันทร์,พระเครื่อง,เสริมเสน่ห์ ความรัก,เนื้อดิน,2550,ปลุกเสกในพิธีบวงสรวง,พกติดตัวเพื่อเสริมความสัมพันธ์,"18,000+",สูง,,ความรัก,,
ยันต์เทพธิดา,,วัดใหญ่ชัยมงคล,ยันต์,เสริมเสน่ห์ ความรัก,ผ้าไหม,2558,ปลุกเสกในพิธีมหาเสน่ห์,วางไว้ในบ้านเพื่อเสริมความรัก,"3,000+",กลาง,,ความรัก,,
ตะกรุดเสน่ห์ยาแฝด,,วัดโสธรวราราม,ตะกรุด,เสริมเสน่ห์ ความรัก,"ทองคำ, เงิน",2556,ปลุกเสกในพิธีใหญ่,พกติดตัวเพื่อเสริมความรัก,"8,500+",สูง,หลวงพ่อโสธร,ความรัก,,
พระขุนแผนเทพบุตรแห่งความรัก,,วัดพระธาตุดอยสุเทพ,พระเครื่อง,เสริมเสน่ห์ ความรัก,เนื้อดิน,2554,ปลุกเสกในพิธีมหาเสน่ห์,พกติดตัวเพื่อเสริมความรัก,"20,000+",สูง,,ความรัก,,
หินแคลไซต์เสริมความรัก,,ศาลหลักเมือง (ขอนแก่น),หินมงคล,เสริมความรัก ความสัมพันธ์,หินแคลไซต์,2562,พิธีบวงสรวงใหญ่,พกติดตัวเพื่อเสริมความรัก,"3,500+",กลาง,,ความรัก,,
ตะกรุดพระขุนแผนเสน่ห์จันทรา,,วัดพระศรีรัตนมหาธาตุ,ตะกรุด,เสริมเสน่ห์ ความรัก,"ทองคำ, เงิน",2558,ปลุกเสกโดยหลวงปู่มั่น,พกติดตัวเพื่อเสริมความรัก,"12,000+",สูง,หลวงปู่มั่น,ความรัก,,
พระกริ่งพระธาตุศรีสองรัก,,วัดพระธาตุศรีสองรัก,พระเครื่อง,เสริมความรักและโชคลาภ,เนื้อดิน,2549,ปลุกเสกในพิธีมหาเสน่ห์,ตั้งบูชาเพื่อเสริมความรักและโชคลาภ,"25,000+",สูง,,ความรัก,,
ยันต์รักแรกพบ,,วัดหลวงพ่อโสธร,ยันต์,เสริมความรัก ความสัมพันธ์,ผ้าไหม,2552,ปลุกเสกในพิธีบวงสรวง,วางไว้ในบ้านเพื่อเสริมความรัก,"2,800+",กลาง,หลวงพ่อโสธร,ความรัก,,
ตะกรุดแม่ทองอิน,,วัดชนะสงคราม,ตะกรุด,เสริมเสน่ห์ ความรัก,"ทองคำ, เงิน",2548,ปลุกเสกในพิธีมหาเสน่ห์,พกติดตัวเพื่อเสริมความรัก,"9,500+",สูง,หลวงปู่มั่น,ความรัก,,
พระขุนแผนเสน่ห์สาว,,วัดเสน่ห์สาว,พระเครื่อง,เสริมเสน่ห์ ความรัก,เนื้อดิน,2546,ปลุกเสกในพิธีมหาเสน่ห์,พกติดตัวเพื่อเสริมความรัก,"15,000+",สูง,หลวงปู่มั่น,ความรัก,,
หินอำพันเสริมรัก,,วัดใหญ่ชัยมงคล,หินมงคล,เสริมความรัก ความสัมพันธ์,หินอำพัน,2557,ปลุกเสกในพิธีบวงสรวง,พกติดตัวเพื่อเสริมเสน่ห์,"2,200+",กลาง,,ความรัก,,
ยันต์พญานาคแห่งรัก,,วัดถ้ำหลวงขุนแผน,ยันต์,เสริมความรัก ความสัมพันธ์,ผ้าไหม,2551,ปลุกเสกในพิธีบวงสรวง,วางไว้ในบ้านเพื่อเสริมความรัก,"1,500+",กลาง,,ความรัก,,
พระขุนแผนชมตลาด (หลวงปู่ทวด),,วัดช้างให้,พระเครื่อง,เสริมเสน่ห์ ความรัก,เนื้อดิน,2545,ปลุกเสกโดยหลวงปู่ทวด,พกติดตัวเพื่อเสริมความรัก,"22,000+",สูง,หลวงปู่ทวด,ความรัก,,
ตะกรุดหลวงปู่ทวด,,วัดช้างให้,ตะกรุด,เสริมเสน่ห์ เมตตามหานิยม,"เงิน, ทองคำ",2550,ปลุกเสกโดยหลวงปู่ทวด,พกติดตัวเพื่อเสริมเสน่ห์,"5,500+",กลาง,หลวงปู่ทวด,ความรัก,,
ผ้ายันต์กันโรค,https://drive.google.com/file/d/1IS_pT3f2AWDyeLXD8D52jrxkhQZNWPlI/view?usp=sharing,"วัดท่าไม้, สมุทรสาคร",ผ้ายันต์,ป้องกันโรคภัย รักษาสุขภาพดี,ผ้า,2555,ปลุกเสกพิธีใหญ่โดยพระเกจิดัง,แขวนในบ้านเพื่อป้องกันโรคภัย,"3,000+",กลาง,หลวงพ่ออุเทน,สุขภาพ,,
พระปิดตามหาลาภสุขภาพดี,https://drive.google.com/file/d/1Ewg01Gn0n7SHh8PzreL21-O3vKYg9yZy/view?usp=sharing,"วัดบวรนิเวศวิหาร, กรุงเทพ",พระเครื่อง,เสริมสุขภาพ ป้องกันสิ่งไม่ดี,เนื้อผงพุทธคุณ,2545,ปลุกเสกโดยสมเด็จพระสังฆราช,พกติดตัวหรือบูชาที่บ้าน,"8,000+",สูง,สมเด็จพระสังฆราช,สุขภาพ,,
ตะกรุดป้องกันโรค,https://drive.google.com/file/d/1cQiqTUNnFLI_mGNiuxv1DhZfJSM1CrYD/view?usp=sharing,"วัดบางนมโค, อยุธยา",ตะกรุด,ป้องกันโรคภัยและเสริมสุขภาพ,"ทองแดง, เงิน",2535,ปลุกเสกโดยหลวงพ่อปาน,พกติดตัวเพื่อเสริมสุขภาพและป้องกันโรค,"9,000+",สูง,หลวงพ่อปาน,สุขภาพ,,
พระพุทธชินราชจำลอง,https://drive.google.com/file/d/1_8No9WTfET7aZ7X2l1rhZPiBPips7uU8/view?usp=sharing,"วัดพระศรีรัตนมหาธาตุ, พิษณุโลก",พระเครื่อง,เสริมสุขภาพ เสริมดวงชะตา,ทองเหลือง,2550,ปลุกเสกพิธีใหญ่โดยพระเกจิอาจารย์,พกติดตัวหรือบูชาที่บ้าน,"10,000+",สูง,,สุขภาพ,,
หินมงคลลาพิสลาซูลี,https://drive.google.com/file/d/1GK4dBDxr-xOb1fc7V244wpHTveoUlQfl/view?usp=sharing,"วัดสุทัศน์เทพวราราม, กรุงเทพ",หินมงคล,เสริมสุขภาพ เสริมพลังชีวิต,ลาพิสลาซูลี,2560,ปลุกเสกในพิธีบวงสรวง,พกติดตัวหรือวางไว้ในบ้าน,"2,500+",กลาง,,สุขภาพ,,
กำไลหินอาเกต,https://drive.google.com/file/d/1379pW5GzE7fo_sWCIXij-faa-mEFpSYv/view?usp=sharing,"ศาลเจ้าแม่กวนอิม, กรุงเทพ",หินมงคล,เสริมสุขภาพและความมั่นคงในชีวิต,หินอาเกต,2562,ปลุกเสกในพิธีบวงสรวง,สวมใส่เพื่อเสริมสุขภาพ,"3,500+",กลาง,,สุขภาพ,,
พระพุทธโสธร วัดโสธรวรารามวรวิหาร,https://drive.google.com/file/d/18DUd7OBIW5zsKKspSF4pfymqXIKMGQ6A/view?usp=drive_link,"วัดโสธรวรารามวรวิหาร, ฉะเชิงเทรา",พระเครื่อง,เสริมสุขภาพและปกป้องภัย,เนื้อทองคำ,2550,ปลุกเสกพิธีใหญ่โดยพระเกจิ,พกติดตัวเพื่อเสริมสุขภาพ,"20,000+",สูง,หลวงพ่อโสธร,สุขภาพ,,
เหรียญหลวงพ่อคูณเสริมสุขภาพ,https://drive.google.com/file/d/1GuuV5mDj_QXCB0Eo4sA-Es8V2yO7mpz4/view?usp=drive_link,"วัดบ้านไร่, นครราชสีมา",เหรียญ,เสริมสุขภาพและปกป้องภัย,ทองแดง,2540,ปลุกเสกโดยหลวงพ่อคูณ,พกติดตัวเพื่อเสริมสุขภาพและป้องกันโรค,"10,000+",สูง,หลวงพ่อคูณ,สุขภาพ,,
กำไลหยกเสริมพลังชีวิต,https://drive.google.com/file/d/1V_9lSEtvFTS4XFZgH4Tz4SnJLir3gbmP/view?usp=drive_link,"วัดเล่งเน่ยยี่, กรุงเทพ",กำไล,เสริมสุขภาพ เสริมดวงชะตา,หยก,2555,ปลุกเสกในพิธีบวงสรวง,สวมใส่เพื่อเสริมสุขภาพ,"12,000+",สูง,,สุขภาพ,,
ตะกรุดเสริมสุขภาพหลวงพ่อเปิ่น,https://drive.google.com/file/d/1bZ83td6XqhS4E54WGGrZa0tHgHFOf8yV/view?usp=drive_link,"วัดบางพระ, นครปฐม",ตะกรุด,ปกป้องโรคภัย เสริมสุขภาพ,ทองแดง,2539,ปลุกเสกโดยหลวงพ่อเปิ่น,พกติดตัวเพื่อป้องกันโรคภัย,"7,000+",กลาง,หลวงพ่อเปิ่น,สุขภาพ,,10 รูป
หินทิเบตเสริมพลังชีวิต,,"ศาลเจ้าพ่อเสือ, กรุงเทพ",หินมงคล,เสริมสุขภาพและปกป้องภัย,หินทิเบต,2561,ปลุกเสกในพิธีบวงสรวง,สวมใส่เพื่อเสริมสุขภาพ,"3,500+",กลาง,,สุขภาพ,,
พระพุทธชินราชเสริมสุขภาพ,,"วัดพระศรีรัตนมหาธาตุ, พิษณุโลก",พระเครื่อง,เสริมสุขภาพ เสริมดวงชะตา,เนื้อทองคำ,2557,ปลุกเสกพิธีใหญ่โดยพระเกจิ,ตั้งบูชาเพื่อเสริมสุขภาพ,"25,000+",สูง,,สุขภาพ,,
ผ้ายันต์ป้องกันโรคภัย,,"วัดป่าเลไลยก์, สุพรรณบุรี",ผ้ายันต์,ป้องกันโรคภัยและเสริมสุขภาพ,ผ้า,2548,ปลุกเสกโดยพระเกจิอาจารย์,แขวนไว้ในบ้านเพื่อป้องกันโรคภัย,"2,500+",กลาง,,สุขภาพ,,
พระปิดตาเสริมสุขภาพดี,,"วัดสุทัศน์เทพวราราม, กรุงเทพ",พระเครื่อง,เสริมสุขภาพและป้องกันภัย,เนื้อดิน,2553,ปลุกเสกในพิธีใหญ่โดยพระเกจิ,พกติดตัวเพื่อเสริมสุขภาพ,"5,500+",กลาง,,สุขภาพ,,
หินมงคลแอมเบอร์,,"ศาลเจ้าพ่อเสือ, กรุงเทพ",หินมงคล,เสริมพลังชีวิตและสุขภาพ,แอมเบอร์,2559,ปลุกเสกในพิธีบวงสรวง,พกติดตัวหรือวางไว้ในบ้าน,"4,000+",กลาง,,สุขภาพ,,
พระสมเด็จเสริมสุขภาพ,,"วัดระฆังโฆสิตาราม, กรุงเทพ",พระเครื่อง,เสริมสุขภาพ ป้องกันโรคภัย,เนื้อดิน,2560,ปลุกเสกในพิธีใหญ่โดยสมเด็จพระสังฆราช,ตั้งบูชาเพื่อเสริมสุขภาพ,"30,000+",สูง,สมเด็จพระสังฆราช,สุขภาพ,,
ตะกรุดป้องกันภัยโรค,,"วัดมังกรกมลาวาส, กรุงเทพ",ตะกรุด,ป้องกันโรคภัยและเสริมสุขภาพ,"ทองแดง, เงิน",2555,ปลุกเสกโดยพระเกจิอาจารย์,พกติดตัวเพื่อเสริมสุขภาพ,"8,000+",สูง,,สุขภาพ,,
หินมงคลไพไรต์,,"วัดบวรนิเวศวิหาร, กรุงเทพ",หินมงคล,เสริมสุขภาพและปกป้องภัย,ไพไรต์,2554,ปลุกเสกในพิธีใหญ่โดยพระเกจิ,สวมใส่เพื่อเสริมสุขภาพ,"6,000+",กลาง,,สุขภาพ,,
ผ้ายันต์พญาครุฑเสริมสุขภาพ,,"วัดเทพธิดาราม, กรุงเทพ",ผ้ายันต์,ป้องกันโรคภัยและเสริมสุขภาพ,ผ้า,2561,ปลุกเสกโดยพระเกจิอาจารย์,แขวนไว้ในบ้านเพื่อป้องกันโรคภัย,"3,000+",กลาง,,สุขภาพ,,
พระสมเด็จเสริมดวงสุขภาพ,,"วัดระฆังโฆสิตาราม, กรุงเทพ",พระเครื่อง,เสริมสุขภาพ เสริมดวงชะตา,เนื้อผงพุทธคุณ,2558,ปลุกเสกในพิธีใหญ่โดยพระเกจิ,ตั้งบูชาเพื่อเสริมสุขภาพ,"15,000+",สูง,,สุขภาพ,,
หินมงคลฮีมาไทต์,,"วัดมหาธาตุยุวราชรังสฤษฎิ์, กรุงเทพ",หินมงคล,เสริมพลังชีวิตและสุขภาพ,ฮีมาไทต์,2562,ปลุกเสกในพิธีบวงสรวง,พกติดตัวเพื่อเสริมสุขภาพ,"3,800+",กลาง,,สุขภาพ,,
พระรอดเสริมสุขภาพ,,"วัดพระแก้ว, กรุงเทพ",พระเครื่อง,เสริมสุขภาพและป้องกันโรค,เนื้อทองคำ,2543,ปลุกเสกในพิธีใหญ่โดยพระเกจิ,พกติดตัวเพื่อเสริมสุขภาพ,"18,000+",สูง,,สุขภาพ,,
เหรียญหลวงพ่อทวดเสริมดวง,,"วัดช้างให้, จันทบุรี",เหรียญ,เสริมสุขภาพและดวงชะตา,ทองแดง,2545,ปลุกเสกโดยหลวงพ่อทวด,พกติดตัวเพื่อเสริมสุขภาพและดวงชะตา,"9,500+",สูง,หลวงพ่อทวด,สุขภาพ,,
หินอาเกตเสริมสุขภาพ,,"วัดราชบพิธ, กรุงเทพ",หินมงคล,เสริมสุขภาพและป้องกันโรค,อาเกต,2559,ปลุกเสกโดยพระเกจิ,สวมใส่เพื่อเสริมสุขภาพ,"4,200+",กลาง,,สุขภาพ,,
ผ้ายันต์กันโรค,,"วัดบวรนิเวศวิหาร, กรุงเทพ",ผ้ายันต์,ป้องกันโรคภัยและเสริมสุขภาพ,ผ้า,2556,ปลุกเสกโดยพระเกจิ,แขวนไว้ในบ้านเพื่อป้องกันโรคภัย,"2,800+",กลาง,,สุขภาพ,,
ตะกรุดโทนเสริมสุขภาพ,,"วัดสิงห์, กรุงเทพ",ตะกรุด,เสริมสุขภาพและป้องกันโรค,โลหะผสม,2551,ปลุกเสกโดยหลวงพ่อเงิน,พกติดตัวเพื่อเสริมสุขภาพและป้องกันโรค,"6,500+",กลาง,หลวงพ่อเงิน,สุขภาพ,,
พระกริ่งเสริมพลังชีวิต,,"วัดอินทรวิหาร, กรุงเทพ",พระกริ่ง,เสริมสุขภาพและพลังชีวิต,ทองคำ,2554,ปลุกเสกโดยพระเกจิ,พกติดตัวเพื่อเสริมสุขภาพ,"22,000+",สูง,,สุขภาพ,,
หินไทเกอร์อายเสริมพลังชีวิต,,"วัดพระแก้ว, กรุงเทพ",หินมงคล,เสริมสุขภาพและพลังชีวิต,ไทเกอร์อาย,2564,ปลุกเสกโดยพระเกจิ,สวมใส่เพื่อเสริมสุขภาพและพลังชีวิต,"5,000+",กลาง,,สุขภาพ,,
เขี้ยวเสือเสริมพลังชีวิต,,"วัดอรุณราชวราราม, กรุงเทพ",เขี้ยวเสือ,เสริมสุขภาพและพลังชีวิต,เขี้ยวเสือ,2557,ปลุกเสกโดยพระเกจิ,พกติดตัวเพื่อเสริมสุขภาพและพลังชีวิต,"18,000+",สูง,,สุขภาพ,,
ผ้ายันต์เสริมพลังชีวิต,,"วัดสามพระยา, กรุงเทพ",ผ้ายันต์,เสริมสุขภาพและพลังชีวิต,ผ้า,2563,ปลุกเสกโดยพระเกจิอาจารย์,แขวนไว้ในบ้านเพื่อเสริมสุขภาพ,"3,200+",กลาง,,สุขภาพ,,
กำไลหินหยกเสริมสุขภาพ,,"วัดท่าซุง, อุทัยธานี",หินมงคล,เสริมสุขภาพและความแข็งแรง,หินหยก,2558,ปลุกเสกโดยหลวงพ่อฤๅษีลิงดำ,สวมใส่เพื่อเสริมสุขภาพ,"5,000+",สูง,หลวงพ่อฤๅษีลิงดำ,สุขภาพ,,
ผ้ายันต์พระพุทธเจ้าห้ามโรค,,"วัดมหาบุศย์, กรุงเทพฯ",ผ้ายันต์,ป้องกันโรคภัยและเสริมสุขภาพ,ผ้า,2563,พิธีปลุกเสกโดยพระเกจิดังหลายรูป,แขวนในบ้านเพื่อป้องกันโรคภัย,"2,500+",กลาง,หลวงพ่อทวด,สุขภาพ,,
