สถานที่,จุดเด่น,ที่อยู่,วันที่เปิดทำการ,เวลาเปิดทำการ,รายละเอียดเพิ่มเติม,บูชา (ของที่ต้องเตรียม),ภาพสถานที่,หมวดหมู่
ศาลเจ้าแม่ประดู่,ศาลเจ้าแม่ประดู่ เป็นศาลเก่าแก่ อีกศาลที่อยู่คู่กับชุมชนตลาดเก่า เยาวราช มาอย่างยาวนานกว่า 170 ปีแล้ว และเป็นที่สักการะ ผู้คนนิยมมาขอพรเรื่องความรักที่นี่ แล้วจะสุขสมหวังตามความปรารถนา,60 ถนนเยาวพานิช แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00-17.00 น.,,ของถวายที่แนะนำ คือ ผู้คนส่วนใหญ่ที่มาขอเนื้อคู่มักจะนิยมนำผลไม้ที่มีรสหวาน 5 ชนิด ธูป เทียน น้ำมันเติมกระเกียง กระดาษเงิน กระดาษทอง ซื้อที่ศาลเจ้าได้เลย ธูปแดงใช้ธูป 45 ดอกและเทียนแดงที่เป็นคู่มาถวาย,https://drive.google.com/file/d/1yfDWCD3CVdWNtyI4uJES1wCDAJPfURC2/view?usp=sharing,ความรัก
ศาลขวัญเรียม ,ศาลขวัญเรียม ตั้งอยู่ที่ ตลาดน้ำขวัญเรียม เป็นศาลแห่งตำนานคู่รักของคลองแสนแสบแห่งท้องทุ่งบางกะปิ และมีนบุรี มีความเชื่อว่า หากมาขอพรแล้วสมหวังดั่งที่ขอ ไม่ว่าจะเป็นเรื่องความรัก หรือครอบครัว,ซอยรามคำแหง 185 ถนนรามคำแหง แขวงมีนบุรี เขตมีนบุรี กรุงเทพฯ,"ส,อา ",07.00 - 18.00 น.,และ เปิดในวันหยุดนักขัตฤกษ์  ,ของถวายที่แนะนำ ธูป 3 ดอก นิยมถวายนํ้าแดง ดอกไม้ ดอกบัว พวงมาลัย หุ่นรูปปั้นควาย,https://drive.google.com/file/d/1N2DdjCQvgWJWvoTGGTeIquKKLr7FETgY/view?usp=sharing,ความรัก
ศาลเจ้าแม่เขาสามมุข,ขอพรความรัก ที่ เจ้าแม่เขาสามมุข จังหวัดชลบุรี,ตำบลแสนสุข อำเภอเมือง จังหวัดชลบุรี,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,,"ของที่ใช้ไหว้ขอคู่: ว่าว  *เขียนชื่อนามสกุลและคำขอพรลงในว่าว ถ้ามีคนรัก เขียนชื่อคนรักลงไปด้วย แล้วแขวนไว้บริเวณศาล

ของถวายแก้บน: ผลไม้ 5 อย่าง (ต้องมีมะพร้าวอ่อน สัปปะรด กล้วยน้ำว้าด้วย) เครื่องสำอาง เครื่องประดับ ชุดไทย            วิธีการไหว้: จุดจำหน่ายธูป-เทียน ที่ศาลเจ้าแม่สามมุข จะมีธูปถุงใหญ่ให้ 1 ถุง และร่วมทำบุญธูปเทียน ดอกไม้ โดยให้จุดเทียน 1 คู่ ปักไว้ในถาดเทียน และจุดธูปอีก 14 ดอก ไหว้เจ้าแม่สามมุขจีน โดยให้ไหว้และปักธูปที่ด้านนอกของตัวศาล จากนั้นค่อยเอาไปขอพรเจ้าแม่ด้านใน (ภายในห้ามจุดธูป) ส่วนธูปที่เหลือ ให้นำไปจุดและไหว้สิ่งศักดิ์สิทธิ์ที่จุดอื่น แต่ละจุดก็จะประมาณ 3 ดอก เพราะมีทั้งหมด 3 ชั้น จะมีคำแนะนำการไหว้ตลอดทาง จะเริ่มวนจากฝั่งซ้ายไปทางขวา",https://drive.google.com/file/d/1wutW-PzxEABPF8PdD7fHCQ06kCGNR_Rj/view?usp=sharing,ความรัก
อุทยานแห่งชาติเขาสามร้อยยอด,ถ้ำพระยานคร อุทยานแห่งชาติเขาสามร้อยยอด จังหวัดประจวบคีรีขันธ์ เป็นสถานที่ที่มีความสวยงามและศักดิ์สิทธิ์เป็นอย่างมาก ซึ่งที่นี่เต็มไปด้วยความอัศจรรย์ที่ซ่อนอยู่มากมาย รวมไปถึงต้นซุ้มรอดคู่หู ที่มีความเชื่อกันว่าคู่รักที่ได้มาลอดซุ้มแห่งความรักนี้ด้วยกันจะรักกันตราบ  นิรันดร์ หรือใครที่ยังโสดหากมาลอดซุ้มให้อธิษฐานขอพรจะได้เจอกับรักที่สมหวัง,หมู่ 2 บ้านเขาแดง ต.เขาแดง อ.กุยบุรี จ.ประจวบคีรีขันธ์ 77150 ,"จ,อ,พ,พฤ,ศ,ส,อา ",09.00-17.00 น.,,ภายในถ้ำ แล้วแวะไปลอด “ต้นซุ้มรอดคู่” ที่ว่ากันว่าคนโสดลอดปุ๊บจะได้ลงจากคาน คนมีคู่ควงกันไปลอดต้นนี้ด้วยกัน จะส่งผลให้ความรักมั่นคง,https://drive.google.com/file/d/1xZ3k3YTF6Fp_PYCwFqAmFiHqF41v4IPg/view?usp=sharing,ความรัก
วัดโลกโมฬี,วัดโลกโมฬี สถานที่ขอพรความรักเชียงใหม่ ซึ่งคนที่ให้ความศรัทธามักเข้าไปกราบไหว้และขอพรความรักกับพระนางจิรประภามหาเทวี กษัตริย์หญิงของล้านนาเมื่อประมาณ 400 ปีก่อน โดยสาเหตุที่หลายคนยกให้ท่านเป็นเทพแห่งความรัก เป็นเพราะความรักที่พระนางมีต่อพระสวามี บ้านเมือง และประชาชน จึงทำให้ที่แห่งนี้กลายเป็นแลนด์มาร์กขอพรความรักของคนเชียงใหม่ แต่ข้อสำคัญของการขอพรที่นี่คือไม่รักจริงห้ามขอเด็ดขาด หรือใครต้องการขอพรความรักให้คนรักกลับมาก็ได้เช่นกัน,ถนนมณีนพรัตน์ ตำบลศรีภูมิ อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่,"จ,อ,พ,พฤ,ศ,ส,อา ",6.00 – 18.00 น.,,วิธีการสักการะ : ไข่ไก่ 9 ฟอง สำเร็จ แก้บนไข่ไก่ 108 ฟอง ผลไม้ 9 อย่าง,https://drive.google.com/file/d/1vLGmsQ5zyYzKZ8kfj__YOzw1AmscwVQI/view?usp=sharing,ความรัก
อนุสาวรีย์สุรนารี,"ท้าวสุรนารี ย่าโม 
หลายคนมีความเชื่อว่าการไปขอพร หากปรารถนาสิ่งใด ให้ตั้งจิตแน่วแน่ ขอในสิ่งที่ไม่ผิดศีลธรรม และให้กล่าวว่า ขอพร ไม่ควรใช้คำว่าบนตรงๆ
ความเชื่อที่ทำกันมาอย่างยาวนาน คือ การมากราบไหว้ขอพรท่าน ในเวลาใดก็ได้
สามารถขอพรท่านได้ตามปรารถนา เช่น การงาน การเงิน ขอบุตร แต่ไม่ควรเป็นเรื่องที่ผิดศีลธรรม และหลายคนก็มาขอพรเรื่องความรัก ให้มีคู่ สมหวังสมดังปรารถนา สิ่งสำคัญสำหรับย่าโมก็คือ การรักษาสัจจะ ต้องไม่ลืมเด็ดขาด หากได้ตามที่ประสงค์","ถนนราชดำเนินและถนนชุมพล เมืองนครราชสีมา, นครราชสีมา","จ,อ,พ,พฤ,ศ,ส,อา ",8.30 -16.30 น.,,วิธีสักการะ: จุดธูปเทียนและท่องคาถาไหว้ย่าโม,https://drive.google.com/file/d/1a7eFpo6o1Z3pMV0gai-AI7oEwQa8o_dV/view?usp=sharing,ความรัก
เจ้าแม่กวนอิม เกาะสีชัง ,ผู้คนบนเกาะสีชังมีความเชื่อต่อเนื่องกันมานานหลายปีสำหรับการขอพรในเรื่องความรักกับเจ้าแม่กวนอิมที่เกาะสีชัง เชื่อว่าจะช่วยให้รักสมหวังดั่งใจ,ตำบลท่าเทววงษ์ อำเภอเกาะสีชัง จังหวัดชลบุรี 20120,"จ,อ,พ,พฤ,ศ,ส,อา ",08:00 - 17:00,,กราบไหว้บูชาด้วย สร้อยสีชมพู 1 เส้นพร้อมกับธูป 9 ดอก,https://drive.google.com/file/d/1jOMVGWIcuHBZd8jOlqc0erN5m6ONaL0D/view?usp=sharing,ความรัก
ศาลพระพิฆเนศ,ใครอยากประสบความสำเร็จเรื่องไหน ให้มาขอพรที่นี่  เชื่อกันว่าพระพิฆเนศเป็นเทพเจ้าแห่งความรู้ สติปัญญา และศิลปะ จะช่วยขจัดอุปสรรค และแก้ไขปัญหาด้วยปัญญาที่ชาญฉลาด ถือเป็นอีกหนึ่งเทพเจ้าที่คนศรัทธา นิยมกราบไหว้นับถือเป็นอย่างมาก,สี่แยกห้วยขวาง ถนนรัชดาภิเษก เขตห้วยขวาง กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59 น.,นิยมไหว้พระพิฆเนศวร์ วันอังคาร และวันพฤหัส,"ธูป 5 ดอก,  เทียน 1 เล่ม, พวงมาลัยดอกไม้, ผลไม้,  ขนมหวาน, นม  หรือน้ำหวาน ห้ามถวายเนื้อสัตว์และของคาวเป็นอันขาด ไหว้ครั้งแรกควรเป็นวันอังคารหรือพฤหัสบดี",https://drive.google.com/file/d/1os6vIR87_-FhLezuNtWANn9xZARYxC-g/view?usp=sharing,ความรัก
วัดจอมธรรม,วัดจอมธรรมที่เต็ม ไปด้วยสิ่งศักดิ์สิทธิมากมาย จนเรียกได้ว่าคุ้มค่าที่จะ เดินทางมาขอพร เพราะความยิ่งใหญ่ของวัดจอม ธรรมและความขลังของที่นี่บอกเลยว่าสุดยอด เพราะ ที่วัดจอมธรรมแห่งนี้มีพระมหาคณปติ พระพิฆเนศ 9 เศียรหนึ่งเดียวในโลก ที่จะคอยประทานพรเรื่องต่างๆ ให้กับใครก็ตามที่มีความศรัทธาและได้มาสักการะ ท่าน นอกจากนี้ด้านหลังพระมหาคณปตินั้นยังมีรูปปั้น ของพญามุจลินท์นาคราชให้ขอพรเรื่องโชคลาภอีก ด้วย ส่วนคนโสดนั้นต้องอย่าพลาดที่จะมาขอพรให้ สมหวังเรื่องความรักกับพระแม่ลักษมีที่จะอยู่เคียงข้าง กับ พระแม่อุมาเทวี และพระแม่สุรัสวดี เรียกได้ว่ามา ทีเดียวครบทุกความปรารถนากันเลย,เลขที่ 84 หมู่ที่ 1 ตำบลแม่ทา อำเภอแม่ออน จังหวัดเชียงใหม่,"จ,อ,พ,พฤ,ศ,ส,อา ",06:00-17:00. น.,,การบูชาพระพิฆเนศสามารถทำได้ทุกวัน แต่วันที่ดีที่สุดในการบูชาคือวันพฤหัสบดี ผู้ที่บูชาพระพิฆเนศควรจัดเตรียมเครื่องบูชา ได้แก่ ดอกไม้ ธูป เทียน ผลไม้ ขนม น้ำสะอาด นม ข้าว ถวายพระพิฆเนศและจุดธูปและเทียน ถวายดอกไม้และผลไม้ ขนม น้ำสะอาด นม ข้าว สวดมนต์หรือภาวนาขอพรพระพิฆเนศ กรวดน้ำและปิดการบูชา,https://drive.google.com/file/d/1dLf0YFsBPijarx0N9H1Kn_FI0urcXBHZ/view?usp=sharing,ความรัก
วัดท่าใหม่อิ,วัดที่นับได้ว่าอยู่คู่เมืองเชียงใหม่มานานกว่า 500 ปี นั่นคือวัดท่าใหม่อิ วัดศักดิ์สิทธิเก่าแก่ที่สายมู ต้องห้ามพลาด เพราะที่วัดท่าใหม่อินั้นเต็มไปด้วยสิ่ง ศักดิ์มากมายให้กราบไหว้ อีกทั้งยังมีความร่มรื่น สงบ เพราะรายล้อมไปด้วยต้นไม้และธรรมชาติมากมาย ภายในวัดมีหลวงพ่อโชคดี ที่ใครได้มีโอกาสไปกราบ ท่านรับประกันเลยว่าจะได้รับความโชคดีติดตัวกลับ ไปด้วยอย่างแน่นอน ส่วนคนโสดนั้นต้องไม่พลาดที่จะ มาขอพรเรื่องความรักกับองค์พระพิฆเนศที่วัดท่าใหม่ อิ และยังมีพระเจ้าทันใจ ซึ่งหากขอพรกลับไป อาจจะ เจอเนื้อคู่แบบทันใจเลยก็เป็นได้,ถนนวงแหวนรอบนอก เชิงสะพานข้ามแม่น้ำปิง บ้านท่าใหม่อิ ต.ป่าแดด อ.เมืองเชียงใหม่ ,"จ,อ,พ,พฤ,ศ,ส,อา ",06:00-18:00. น.,,"ขอพร บูชาพระพิฆเนศ ถวายของ: น้ำ น้ำสะอาด 1 แก้ว
นม ควรเป็นนมรสจืด หรือโยเกิร์ตรสธรรมชาติ
ดอกไม้หรือพวงมาลัย ดอกบัว ดอกดาวเรือง ดอกกุหลาบ
ผลไม้มงคล เช่น กล้วย มะพร้าว อ้อย สับปะรด ส้ม
ขนมหวาน เช่น ขนมลาดูโมทกะ
ข้าว ข้าวเปล่า 1 ถ้วย
ธูป ธูป 9 ดอก
เทียน เทียน 2 เล่ม",https://drive.google.com/file/d/1PmPLDRNiuKJZQPZiDp4siq-ZkJ5gvvwS/view?usp=sharing,ความรัก
วัดศรีสุพรรณ,วัดที่มี ความสวยงามทั้งด้านสถาปัตยกรรม ด้วยอุโบสถเงิน ที่วิจิตรตระการตา อีกทั้งยังมีองค์พระพิฆเนศซึ่งเป็น พระพิฆเนศทันใจเนื้อเงินองค์แรกและองค์เดียวของ โลก แน่นอนว่าสามารถขอพรเรื่องความรักจากท่าน ได้เลย นอกจากเรื่องความรักนั้นยังสามารถขอพร เรื่องต่างๆได้อีกด้วย เพราะว่าพระพิฆเนศจะบันดาล พรนั้นให้สมความปรารถนา,100 ถ.วัวลาย ต.หายยา อ.เมือง จ.เชียงใหม่,"จ,อ,พ,พฤ,ศ,ส,อา ",07:00-19:00. น.,,ธีขอพรคือไป กระซิบข้างหูของหนูมุสิกะ ซึ่งเป็นบริวารรับใช้ของพระ พิฆเนศ และระหว่างขอพรนั้นให้เอามืออีกข้างปิดหู ข้างที่ไม่ได้กระซิบ เพื่อพรนั้นจะได้เป็นจริงนั่นเอง ใคร,https://drive.google.com/file/d/1QqySo6D73fG6t_ZthngIlYpsJRsu6Fsx/view?usp=sharing,ความรัก
วัดปราสาท,วัดเล็กๆที่เต็มไปด้วยเสน่ห์และ ความขลัง ด้วยสถาปัตยกรรมอันงดงามจากช่างฝีมือ ขั้นสูง เป็นอีกหนึ่งวัดคู่บ้านคู่เมืองของเชียงใหม่ที่ สร้างตั้งแต่ยังเป็นอาณาจักรล้านนา วัดปราสาทจะตั้ง อยู่ติดกับวัดพระสิงค์ นับเป็นอีกหนึ่งสถานที่ที่ผู้คนมัก จะเข้ามาขอพรในเรื่อต่างๆ รวมถึงเรื่องของความรัก นับว่าเป็นอีก 1 ที่ที่คนโสดห้ามพลาดที่จะมาขอพร เรื่องความรัก,ตำบลศรีภูมิ อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่,"จ,อ,พ,พฤ,ศ,ส,อา ",05:00-20:00. น.,,ของถวายหน้าวัด ไหว้พระพุทธรูปปูนปั้นปางมารวิชัยสีขาว ขอพรเรื่องความรัก,https://drive.google.com/file/d/1qnjXGVCSsUJxSXetrY7rxKifkJ60r-3b/view?usp=sharing,ความรัก
วัดสวนดอก,กู่เจ้าน้อยศุขเกษม ตั้งอยู่ในกู่เจ้านายฝ่ายเหนือ ที่หลายคนต่างมากราบไหว้บูชาขอพรความรัก ด้วยสาเหตุนั้นมีที่มาจากตำนานความรักที่เป็นไปไม่ได้ของเจ้าชายน้อยศุขเกษมและมะเมียะ ความรักที่บริสุทธิ์และคำสาบานที่มีต่อกันยังคงตราตรึงและสร้างความศรัทธาให้กับคนเชียงใหม่อยู่จนทุกวันนี้ ด้วยตำนานที่เล่าขานกันมาจึงทำให้ใครต่อใครต่างพากันมาสักการะไหว้ขอพรความรักกับกู่เจ้าน้อยศุขเกษมที่วัดสวนดอกกันเป็นจำนวนมากในทุกปี,ถนนสุเทพ ตำบลสุเทพ อำเภอเมือง เชียงใหม่,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,,เตรียมพวงมาลัยหรือดอกกุหลาบไปไหว้ขอพรเรื่องความรักกับกู่เจ้าน้อยศุขเกษม,https://drive.google.com/file/d/1DTtukSEw9LTwNQn24MqsMUky9-VvIXpj/view?usp=sharing,ความรัก
วัดป่าดาราภิรมย์,สำหรับคนโสด ที่ต้องการพบเจอและสมหวังในความรัก สามารถมากราบไหว้ขอพรเจ้าดารารัศมี ณ วัดป่าดาราภิรมย์ เชื่อกันว่าจะเจอความรักที่ดี และสมหวังอีกด้วย,ริมใต้ แม่ริม เชียงใหม่ 50180,"จ,อ,พ,พฤ,ศ,ส,อา ",09.00 น. – 17.00 น.,,ธุปเทียนดอกไม้ กล่าวคาถาไหว้ขอพรเจ้าดารารัศมี,https://drive.google.com/file/d/1kpATBXGuq1dGF6EFAoULQmQ-KBLMHtC_/view?usp=drive_link,ความรัก
