คำถาม,หมวดหมู่
"""การเงินของครอบครัวจะดีขึ้นเมื่อไหร่?""",การเงิน
"""ฉันควรใช้เงินลงทุนในอสังหาริมทรัพย์หรือไม่?""",การเงิน
"""ธุรกิจที่ทำอยู่จะมีผลกำไรในอนาคตหรือไม่?""",การเงิน
"""จะมีโอกาสทางการเงินเข้ามาอีกไหม?""",การเงิน
"""ฉันจะสามารถเก็บเงินเพื่อซื้อบ้านได้เมื่อไหร่?""",การเงิน
"""ทำอย่างไรให้มีรายได้เสริมเพิ่มขึ้น?""",การเงิน
"""ปีนี้ควรทำอะไรเพื่อให้การเงินดีขึ้น?""",การเงิน
"""ฉันควรเริ่มลงทุนในตลาดหุ้นหรือไม่?""",การเงิน
"""รายได้ของฉันจะเพิ่มขึ้นหรือไม่?""",การเงิน
"""ฉันควรเริ่มธุรกิจใหม่ตอนนี้หรือไม่?""",การเงิน
"""การกู้เงินเพื่อลงทุนตอนนี้เป็นความคิดที่ดีหรือไม่?""",การเงิน
"""การตัดสินใจเรื่องการเงินในปีนี้จะส่งผลดีหรือไม่?""",การเงิน
"""จะมีโชคลาภทางการเงินเข้ามาเมื่อไหร่?""",การเงิน
"""ฉันจะได้รับเงินก้อนใหญ่จากการทำงานหรือไม่?""",การเงิน
"""ทำอย่างไรให้การใช้จ่ายของฉันมีวินัยมากขึ้น?""",การเงิน
"""ควรวางแผนการเงินอย่างไรในปีนี้?""",การเงิน
"ฉันควรเปลี่ยนงานใหม่ตอนนี้หรือไม่?""",การงาน
"""งานที่ทำอยู่มีโอกาสเจริญก้าวหน้าหรือไม่?""",การงาน
"""จะมีโอกาสในการโปรโมทเร็วๆ นี้ไหม?""",การงาน
"""ควรลงทุนเวลาพัฒนาทักษะอะไรเพิ่มเติม?""",การงาน
"""ฉันควรทำอย่างไรเพื่อให้เป็นที่ยอมรับในที่ทำงาน?""",การงาน
"""งานนี้จะมั่นคงในอนาคตหรือไม่?""",การงาน
"""ฉันควรย้ายไปทำงานที่อื่นหรือไม่?""",การงาน
"""ฉันควรเริ่มต้นธุรกิจของตัวเองไหม?""",การงาน
"""ฉันจะได้งานใหม่เมื่อไหร่?""",การงาน
"""จะมีโอกาสได้รับมอบหมายงานที่ท้าทายมากขึ้นหรือไม่?""",การงาน
"""ทำอย่างไรให้ได้รับการโปรโมทในองค์กร?""",การงาน
"""ฉันจะเจองานที่ตรงกับความฝันเมื่อไหร่?""",การงาน
"""ฉันจะมีโอกาสทำงานต่างประเทศหรือไม่?""",การงาน
"""ทำอย่างไรให้ผู้บังคับบัญชาเห็นคุณค่าในตัวฉัน?""",การงาน
"""การสมัครงานใหม่จะประสบความสำเร็จหรือไม่?""",การงาน
"""ควรยอมรับข้อเสนอในการย้ายไปทำงานที่อื่นหรือไม่?""",การงาน
"""ฉันจะได้รับเงินเดือนเพิ่มเมื่อไหร่?""",การงาน
"""ควรทำงานต่อในสายงานนี้หรือไม่?""",การงาน
"""ฉันจะได้รับโอกาสเติบโตในหน้าที่การงานหรือไม่?""",การงาน
"""ทำอย่างไรให้ได้รับความเคารพจากเพื่อนร่วมงาน?""",การงาน
"""ทำอย่างไรให้โชคเข้ามาในชีวิตมากขึ้น?""",เสริมดวง
"""ฉันควรทำบุญอะไรเพื่อเสริมดวง?""",เสริมดวง
"""ช่วงนี้โชคดีจะเข้ามาเมื่อไหร่?""",เสริมดวง
"""ฉันจะมีโอกาสได้รับโชคลาภก้อนโตหรือไม่?""",เสริมดวง
"""การซื้อหวยจะมีโอกาสถูกรางวัลหรือไม่?""",เสริมดวง
"""ควรเสริมดวงในด้านไหนในช่วงนี้?""",เสริมดวง
"""การทำบุญอะไรที่จะช่วยให้ฉันมีโชคดี?""",เสริมดวง
"""ฉันจะมีโชคทางการเงินเข้ามาไหมในเร็วๆ นี้?""",เสริมดวง
"""ทำอย่างไรให้ดวงการงานดีขึ้น?""",เสริมดวง
"""การเสี่ยงดวงในช่วงนี้เหมาะสมหรือไม่?""",เสริมดวง
"""การทำบุญในรูปแบบไหนจะช่วยเสริมดวงดีที่สุด?""",เสริมดวง
"""ดวงชะตาช่วงนี้ควรระวังอะไรบ้าง?""",เสริมดวง
"""จะมีโชคจากเดินทางหรือไม่?""",เสริมดวง
"""ดวงของฉันปีนี้จะเป็นอย่างไร?""",เสริมดวง
"""ควรเสริมดวงความรักอย่างไร?""",เสริมดวง
"""ทำบุญวัดไหนจะช่วยเสริมดวงในด้านการงาน?""",เสริมดวง
"""การทำบุญที่ไหนจะช่วยเสริมดวงด้านการเงิน?""",เสริมดวง
"""ควรทำบุญอะไรเพื่อปัดเป่าเคราะห์ร้าย?""",เสริมดวง
"""ฉันจะได้รับโชคจากการงานในเร็วๆ นี้ไหม?""",เสริมดวง
"""การเสริมดวงในช่วงนี้ควรทำอย่างไรให้ดีที่สุด?""",เสริมดวง
"ฉันจะได้มีโอกาสเดินทางต่างประเทศหรือไม่?""",เดินทาง
"""เดินทางครั้งนี้จะปลอดภัยไหม?""",เดินทาง
"""ควรเลือกเดินทางไปที่ไหนในปีนี้?""",เดินทาง
"""เดินทางครั้งต่อไปควรเลือกวันไหนดี?""",เดินทาง
"""เดินทางในครั้งนี้จะมีโอกาสเจออุปสรรคอะไรไหม?""",เดินทาง
"""ควรเดินทางไปที่ไหนเพื่อพักผ่อนใจ?""",เดินทาง
"""จะได้มีโอกาสเดินทางเพื่อทำงานเร็วๆ นี้ไหม?""",เดินทาง
"""ฉันจะได้เดินทางไกลภายในปีนี้หรือไม่?""",เดินทาง
"""ควรไปทำบุญที่วัดไหนก่อนเดินทาง?""",เดินทาง
"""เดินทางครั้งนี้จะส่งผลดีต่อการงานหรือไม่?""",เดินทาง
"""เดินทางจะนำพาโชคดีมาให้หรือไม่?""",เดินทาง
"""จะมีโอกาสได้รับคำแนะนำเกี่ยวกับเดินทางที่ดีไหม?""",เดินทาง
"""ฉันควรระมัดระวังอะไรในเดินทางครั้งนี้?""",เดินทาง
"""เดินทางครั้งนี้จะช่วยให้เจอโอกาสใหม่ๆ หรือไม่?""",เดินทาง
"""ฉันจะได้พบประสบการณ์พิเศษในเดินทางหรือไม่?""",เดินทาง
"""เดินทางจะช่วยให้ฉันผ่อนคลายความเครียดได้หรือไม่?""",เดินทาง
"""ฉันจะได้พบคนที่มีประโยชน์ในชีวิตระหว่างเดินทางหรือไม่?""",เดินทาง
"""เดินทางในช่วงนี้จะเสี่ยงต่อการเสียหายหรือไม่?""",เดินทาง
"""ควรเลือกใช้ยานพาหนะใดในเดินทางครั้งนี้?""",เดินทาง
"""เดินทางจะมีผลต่อความรักหรือไม่?""",เดินทาง
